NAME,c_income,c_less10k,c_10_14999,c_15_24999,c_25_34999,c_35_49999,c_50_74999,c_75_99999,c_100_149,c_150_199,c_200more,c_income_moe,c_less10k_moe,c_10_14999_moe,c_15_24999_moe,c_25_34999_moe,c_35_49999_moe,c_50_74999_moe,c_75_99999_moe,c_100_149_moe,c_150_199_moe,c_200more_moe,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 5422, Los Angeles County, California",1623,6.0,7.0,11.0,9.0,21.0,17.0,12.0,10.0,1.0,1.0,54,4.0,4.0,5.0,4.0,7.0,5.0,4.0,5.0,2.0,2.0,06,037,542200,2018,06037542200
"Census Tract 5424.02, Los Angeles County, California",773,7.0,3.0,1.0,9.0,15.0,24.0,16.0,13.0,5.0,2.0,56,4.0,3.0,1.0,5.0,6.0,6.0,6.0,5.0,4.0,1.0,06,037,542402,2018,06037542402
"Census Tract 5427, Los Angeles County, California",1372,0.0,3.0,7.0,9.0,15.0,25.0,21.0,13.0,3.0,0.0,61,1.0,2.0,4.0,4.0,5.0,6.0,7.0,5.0,2.0,0.0,06,037,542700,2018,06037542700
"Census Tract 5433.05, Los Angeles County, California",1042,1.0,1.0,14.0,8.0,13.0,23.0,13.0,16.0,5.0,1.0,53,2.0,1.0,6.0,4.0,6.0,8.0,7.0,7.0,5.0,2.0,06,037,543305,2018,06037543305
"Census Tract 5435.01, Los Angeles County, California",2093,4.0,3.0,3.0,5.0,16.0,28.0,12.0,16.0,6.0,3.0,68,3.0,3.0,3.0,3.0,5.0,8.0,4.0,6.0,4.0,2.0,06,037,543501,2018,06037543501
"Census Tract 5439.03, Los Angeles County, California",1122,5.0,3.0,7.0,8.0,9.0,18.0,15.0,12.0,8.0,11.0,61,2.0,3.0,3.0,4.0,4.0,7.0,5.0,5.0,5.0,5.0,06,037,543903,2018,06037543903
"Census Tract 5500, Los Angeles County, California",153,5.0,2.0,10.0,0.0,0.0,29.0,20.0,13.0,15.0,2.0,32,9.0,3.0,11.0,20.0,20.0,14.0,13.0,11.0,11.0,4.0,06,037,550000,2018,06037550000
"Census Tract 1347.20, Los Angeles County, California",1615,3.0,7.0,5.0,11.0,11.0,19.0,16.0,17.0,3.0,3.0,67,2.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,2.0,2.0,06,037,134720,2018,06037134720
"Census Tract 1372.01, Los Angeles County, California",2333,4.0,2.0,7.0,6.0,7.0,20.0,15.0,16.0,10.0,9.0,94,3.0,2.0,6.0,5.0,4.0,7.0,6.0,6.0,5.0,4.0,06,037,137201,2018,06037137201
"Census Tract 1375.02, Los Angeles County, California",1833,4.0,3.0,7.0,5.0,5.0,15.0,8.0,14.0,15.0,19.0,108,3.0,2.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,6.0,06,037,137502,2018,06037137502
"Census Tract 1375.04, Los Angeles County, California",694,0.0,0.0,3.0,1.0,3.0,13.0,4.0,20.0,14.0,37.0,39,4.0,1.0,4.0,1.0,2.0,5.0,3.0,7.0,6.0,8.0,06,037,137504,2018,06037137504
"Census Tract 1397.02, Los Angeles County, California",2200,0.0,0.0,4.0,1.0,5.0,7.0,5.0,12.0,9.0,53.0,112,1.0,0.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,6.0,06,037,139702,2018,06037139702
"Census Tract 1435, Los Angeles County, California",2310,4.0,7.0,10.0,1.0,2.0,12.0,12.0,17.0,14.0,16.0,119,4.0,5.0,5.0,1.0,2.0,5.0,6.0,5.0,4.0,5.0,06,037,143500,2018,06037143500
"Census Tract 1814, Los Angeles County, California",1585,5.0,1.0,9.0,12.0,14.0,16.0,8.0,19.0,7.0,5.0,106,3.0,1.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,2.0,06,037,181400,2018,06037181400
"Census Tract 1894, Los Angeles County, California",1645,2.0,1.0,2.0,4.0,8.0,7.0,9.0,9.0,12.0,41.0,137,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,6.0,06,037,189400,2018,06037189400
"Census Tract 1852.02, Los Angeles County, California",1386,3.0,2.0,8.0,8.0,14.0,20.0,11.0,14.0,6.0,10.0,63,2.0,2.0,5.0,4.0,6.0,8.0,5.0,5.0,4.0,4.0,06,037,185202,2018,06037185202
"Census Tract 1883, Los Angeles County, California",1425,0.0,3.0,4.0,6.0,8.0,12.0,14.0,27.0,12.0,9.0,71,1.0,3.0,3.0,4.0,4.0,7.0,6.0,6.0,6.0,4.0,06,037,188300,2018,06037188300
"Census Tract 1899.02, Los Angeles County, California",3025,5.0,9.0,9.0,9.0,10.0,19.0,7.0,14.0,8.0,4.0,131,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,2.0,06,037,189902,2018,06037189902
"Census Tract 83.01, San Bernardino County, California",2193,5.0,2.0,3.0,0.0,14.0,26.0,13.0,20.0,7.0,7.0,169,3.0,1.0,2.0,1.0,6.0,7.0,5.0,6.0,3.0,3.0,06,071,008301,2018,06071008301
"Census Tract 83.02, San Bernardino County, California",1184,2.0,2.0,5.0,5.0,2.0,12.0,10.0,26.0,12.0,20.0,74,2.0,4.0,4.0,4.0,2.0,4.0,5.0,7.0,5.0,6.0,06,071,008302,2018,06071008302
"Census Tract 1.05, San Bernardino County, California",1893,5.0,0.0,3.0,1.0,3.0,13.0,16.0,25.0,15.0,16.0,115,3.0,0.0,2.0,1.0,2.0,5.0,6.0,5.0,5.0,4.0,06,071,000105,2018,06071000105
"Census Tract 1.07, San Bernardino County, California",968,3.0,0.0,3.0,5.0,8.0,14.0,12.0,20.0,16.0,14.0,44,2.0,3.0,2.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,06,071,000107,2018,06071000107
"Census Tract 2.01, San Bernardino County, California",1616,5.0,5.0,9.0,12.0,14.0,24.0,11.0,9.0,7.0,1.0,89,3.0,3.0,4.0,5.0,6.0,7.0,4.0,5.0,4.0,1.0,06,071,000201,2018,06071000201
"Census Tract 26.01, San Bernardino County, California",2330,6.0,2.0,4.0,6.0,12.0,19.0,10.0,17.0,16.0,4.0,168,4.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,5.0,2.0,06,071,002601,2018,06071002601
"Census Tract 30, San Bernardino County, California",1122,5.0,27.0,15.0,13.0,13.0,8.0,9.0,3.0,3.0,0.0,54,4.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,06,071,003000,2018,06071003000
"Census Tract 418.13, Riverside County, California",2067,7.0,5.0,14.0,12.0,16.0,16.0,5.0,15.0,3.0,2.0,95,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,2.0,1.0,06,065,041813,2018,06065041813
"Census Tract 420.08, Riverside County, California",2318,2.0,0.0,0.0,2.0,8.0,13.0,14.0,29.0,12.0,14.0,112,2.0,1.0,1.0,2.0,4.0,5.0,7.0,8.0,5.0,6.0,06,065,042008,2018,06065042008
"Census Tract 422.06, Riverside County, California",2461,1.0,3.0,5.0,8.0,16.0,22.0,17.0,14.0,3.0,5.0,140,1.0,3.0,3.0,5.0,5.0,7.0,5.0,5.0,2.0,3.0,06,065,042206,2018,06065042206
"Census Tract 422.08, Riverside County, California",871,2.0,3.0,1.0,1.0,5.0,7.0,16.0,30.0,17.0,15.0,30,1.0,2.0,1.0,1.0,3.0,4.0,6.0,5.0,5.0,4.0,06,065,042208,2018,06065042208
"Census Tract 424.06, Riverside County, California",1211,4.0,1.0,3.0,9.0,21.0,13.0,23.0,19.0,2.0,0.0,44,3.0,1.0,2.0,5.0,7.0,5.0,7.0,6.0,1.0,2.0,06,065,042406,2018,06065042406
"Census Tract 424.07, Riverside County, California",821,4.0,0.0,6.0,12.0,9.0,20.0,21.0,21.0,1.0,1.0,45,4.0,0.0,4.0,5.0,5.0,6.0,7.0,7.0,1.0,1.0,06,065,042407,2018,06065042407
"Census Tract 425.06, Riverside County, California",2562,5.0,4.0,9.0,9.0,11.0,25.0,11.0,18.0,2.0,2.0,176,3.0,4.0,5.0,6.0,6.0,8.0,5.0,7.0,2.0,2.0,06,065,042506,2018,06065042506
"Census Tract 425.15, Riverside County, California",996,6.0,7.0,17.0,16.0,12.0,24.0,10.0,1.0,3.0,0.0,81,5.0,5.0,8.0,7.0,7.0,10.0,6.0,1.0,3.0,3.0,06,065,042515,2018,06065042515
"Census Tract 427.08, Riverside County, California",1432,1.0,3.0,5.0,3.0,19.0,25.0,17.0,13.0,6.0,4.0,74,1.0,2.0,3.0,2.0,7.0,7.0,6.0,5.0,3.0,3.0,06,065,042708,2018,06065042708
"Census Tract 429.04, Riverside County, California",2225,5.0,0.0,19.0,14.0,16.0,11.0,12.0,16.0,2.0,1.0,157,4.0,0.0,7.0,6.0,7.0,6.0,6.0,7.0,2.0,1.0,06,065,042904,2018,06065042904
"Census Tract 430.03, Riverside County, California",1845,10.0,5.0,9.0,14.0,13.0,23.0,14.0,8.0,0.0,0.0,96,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,06,065,043003,2018,06065043003
"Census Tract 433.08, Riverside County, California",951,12.0,10.0,12.0,11.0,21.0,17.0,10.0,2.0,0.0,0.0,61,5.0,4.0,4.0,5.0,7.0,6.0,5.0,2.0,3.0,0.0,06,065,043308,2018,06065043308
"Census Tract 433.12, Riverside County, California",1216,2.0,7.0,16.0,4.0,21.0,19.0,15.0,10.0,0.0,0.0,70,2.0,4.0,7.0,3.0,7.0,8.0,7.0,5.0,1.0,1.0,06,065,043312,2018,06065043312
"Census Tract 434.05, Riverside County, California",1887,11.0,16.0,29.0,13.0,13.0,7.0,5.0,1.0,0.0,0.0,121,4.0,6.0,5.0,4.0,4.0,4.0,3.0,1.0,0.0,1.0,06,065,043405,2018,06065043405
"Census Tract 435.06, Riverside County, California",2034,8.0,6.0,14.0,9.0,15.0,21.0,5.0,10.0,4.0,4.0,119,5.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,3.0,06,065,043506,2018,06065043506
"Census Tract 437.01, Riverside County, California",1491,2.0,12.0,19.0,8.0,11.0,13.0,12.0,9.0,6.0,4.0,86,1.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,2.0,06,065,043701,2018,06065043701
"Census Tract 424.01, Riverside County, California",560,2.0,0.0,2.0,2.0,6.0,16.0,17.0,24.0,15.0,12.0,27,3.0,6.0,2.0,2.0,4.0,7.0,9.0,8.0,7.0,6.0,06,065,042401,2018,06065042401
"Census Tract 424.08, Riverside County, California",828,4.0,1.0,5.0,5.0,14.0,18.0,15.0,25.0,4.0,5.0,40,3.0,1.0,3.0,4.0,6.0,6.0,5.0,7.0,2.0,3.0,06,065,042408,2018,06065042408
"Census Tract 432.06, Riverside County, California",2567,2.0,7.0,10.0,4.0,16.0,15.0,10.0,20.0,5.0,6.0,111,2.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,2.0,3.0,06,065,043206,2018,06065043206
"Census Tract 433.07, Riverside County, California",2351,15.0,5.0,10.0,11.0,20.0,28.0,2.0,4.0,0.0,0.0,140,6.0,2.0,4.0,4.0,7.0,7.0,2.0,3.0,1.0,1.0,06,065,043307,2018,06065043307
"Census Tract 433.09, Riverside County, California",855,10.0,6.0,17.0,15.0,14.0,17.0,13.0,2.0,1.0,0.0,84,5.0,3.0,6.0,5.0,5.0,7.0,5.0,1.0,1.0,4.0,06,065,043309,2018,06065043309
"Census Tract 433.11, Riverside County, California",722,4.0,1.0,14.0,7.0,24.0,12.0,13.0,7.0,8.0,6.0,44,5.0,1.0,7.0,3.0,9.0,6.0,6.0,4.0,4.0,4.0,06,065,043311,2018,06065043311
"Census Tract 434.04, Riverside County, California",1327,11.0,17.0,14.0,17.0,14.0,15.0,2.0,3.0,2.0,0.0,83,4.0,6.0,6.0,6.0,5.0,4.0,2.0,3.0,3.0,2.0,06,065,043404,2018,06065043404
"Census Tract 307, Riverside County, California",2027,3.0,3.0,9.0,3.0,9.0,23.0,15.0,17.0,11.0,3.0,115,4.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,2.0,06,065,030700,2018,06065030700
"Census Tract 313, Riverside County, California",634,5.0,1.0,8.0,18.0,17.0,14.0,18.0,13.0,1.0,2.0,35,4.0,1.0,5.0,8.0,8.0,7.0,7.0,5.0,1.0,2.0,06,065,031300,2018,06065031300
"Census Tract 32.01, Fresno County, California",1469,7.0,10.0,10.0,7.0,14.0,26.0,8.0,10.0,2.0,2.0,69,4.0,5.0,5.0,4.0,5.0,7.0,4.0,4.0,2.0,3.0,06,019,003201,2018,06019003201
"Census Tract 55.04, Fresno County, California",1107,2.0,0.0,4.0,7.0,7.0,20.0,11.0,15.0,19.0,10.0,24,2.0,1.0,4.0,5.0,4.0,6.0,4.0,6.0,7.0,4.0,06,019,005504,2018,06019005504
"Census Tract 45.06, Fresno County, California",1488,1.0,3.0,3.0,8.0,17.0,15.0,11.0,25.0,5.0,7.0,80,1.0,3.0,2.0,3.0,6.0,5.0,4.0,5.0,2.0,3.0,06,019,004506,2018,06019004506
"Census Tract 50, Fresno County, California",1501,4.0,3.0,11.0,9.0,19.0,17.0,15.0,8.0,5.0,4.0,81,3.0,3.0,4.0,5.0,6.0,7.0,7.0,4.0,5.0,4.0,06,019,005000,2018,06019005000
"Census Tract 55.14, Fresno County, California",1348,3.0,1.0,9.0,2.0,9.0,9.0,13.0,27.0,14.0,9.0,84,2.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,5.0,4.0,06,019,005514,2018,06019005514
"Census Tract 64.02, Fresno County, California",1100,3.0,3.0,5.0,9.0,9.0,23.0,10.0,22.0,7.0,5.0,95,2.0,2.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,2.0,06,019,006402,2018,06019006402
"Census Tract 70.02, Fresno County, California",1398,8.0,5.0,11.0,21.0,16.0,19.0,10.0,4.0,0.0,2.0,110,5.0,2.0,6.0,7.0,6.0,9.0,4.0,4.0,2.0,3.0,06,019,007002,2018,06019007002
"Census Tract 70.04, Fresno County, California",1759,3.0,6.0,11.0,8.0,11.0,18.0,16.0,13.0,5.0,5.0,134,2.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,06,019,007004,2018,06019007004
"Census Tract 71, Fresno County, California",1964,5.0,8.0,16.0,25.0,17.0,19.0,3.0,3.0,0.0,0.0,120,3.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,1.0,0.0,06,019,007100,2018,06019007100
"Census Tract 57.03, Fresno County, California",1765,0.0,3.0,4.0,5.0,8.0,18.0,18.0,21.0,11.0,7.0,59,0.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,06,019,005703,2018,06019005703
"Census Tract 59.04, Fresno County, California",1778,2.0,1.0,2.0,5.0,6.0,20.0,18.0,27.0,5.0,8.0,96,2.0,1.0,1.0,4.0,3.0,6.0,6.0,6.0,3.0,4.0,06,019,005904,2018,06019005904
"Census Tract 63, Fresno County, California",2434,2.0,0.0,11.0,12.0,11.0,15.0,11.0,17.0,11.0,5.0,124,2.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,06,019,006300,2018,06019006300
"Census Tract 82, Fresno County, California",1852,12.0,4.0,15.0,16.0,16.0,16.0,10.0,4.0,1.0,1.0,129,4.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,06,019,008200,2018,06019008200
"Census Tract 83.02, Fresno County, California",1533,6.0,11.0,17.0,18.0,20.0,15.0,3.0,6.0,0.0,0.0,104,3.0,5.0,6.0,6.0,6.0,6.0,2.0,4.0,0.0,2.0,06,019,008302,2018,06019008302
"Census Tract 84.02, Fresno County, California",341,7.0,0.0,9.0,15.0,23.0,13.0,13.0,11.0,2.0,3.0,36,7.0,9.0,6.0,10.0,10.0,8.0,10.0,6.0,2.0,4.0,06,019,008402,2018,06019008402
"Census Tract 51, Fresno County, California",2141,7.0,15.0,18.0,10.0,13.0,20.0,3.0,11.0,0.0,0.0,97,4.0,7.0,7.0,5.0,7.0,8.0,2.0,6.0,1.0,1.0,06,019,005100,2018,06019005100
"Census Tract 54.05, Fresno County, California",1427,1.0,2.0,7.0,10.0,8.0,22.0,15.0,24.0,5.0,2.0,98,1.0,2.0,3.0,5.0,3.0,6.0,4.0,7.0,2.0,2.0,06,019,005405,2018,06019005405
"Census Tract 54.08, Fresno County, California",355,44.0,5.0,8.0,10.0,7.0,10.0,5.0,6.0,0.0,0.0,59,14.0,4.0,6.0,7.0,7.0,8.0,4.0,9.0,9.0,1.0,06,019,005408,2018,06019005408
"Census Tract 57.02, Fresno County, California",1821,2.0,2.0,5.0,4.0,8.0,28.0,14.0,18.0,9.0,6.0,75,1.0,2.0,3.0,2.0,3.0,6.0,4.0,5.0,3.0,2.0,06,019,005702,2018,06019005702
"Census Tract 64.03, Fresno County, California",2054,4.0,3.0,10.0,8.0,9.0,21.0,15.0,14.0,7.0,4.0,215,4.0,2.0,4.0,6.0,5.0,6.0,6.0,5.0,3.0,3.0,06,019,006403,2018,06019006403
"Census Tract 76, Fresno County, California",1313,5.0,6.0,13.0,13.0,23.0,17.0,7.0,8.0,3.0,1.0,88,3.0,3.0,4.0,5.0,7.0,6.0,3.0,4.0,3.0,1.0,06,019,007600,2018,06019007600
"Census Tract 80, Fresno County, California",1660,10.0,6.0,10.0,6.0,5.0,17.0,12.0,18.0,7.0,4.0,131,5.0,3.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,2.0,06,019,008000,2018,06019008000
"Census Tract 84.01, Fresno County, California",2357,7.0,3.0,14.0,20.0,14.0,26.0,4.0,5.0,1.0,1.0,205,4.0,2.0,7.0,6.0,7.0,8.0,3.0,4.0,1.0,2.0,06,019,008401,2018,06019008401
"Census Tract 44.06, Fresno County, California",2271,3.0,1.0,12.0,10.0,18.0,24.0,9.0,12.0,1.0,4.0,122,3.0,1.0,5.0,5.0,7.0,8.0,3.0,6.0,2.0,3.0,06,019,004406,2018,06019004406
"Census Tract 47.01, Fresno County, California",2367,7.0,5.0,18.0,12.0,28.0,11.0,9.0,4.0,1.0,0.0,105,5.0,3.0,6.0,6.0,8.0,5.0,4.0,3.0,0.0,1.0,06,019,004701,2018,06019004701
"Census Tract 52.02, Fresno County, California",1168,5.0,20.0,25.0,10.0,7.0,19.0,5.0,4.0,0.0,0.0,78,4.0,8.0,8.0,5.0,5.0,6.0,3.0,3.0,1.0,2.0,06,019,005202,2018,06019005202
"Census Tract 53.04, Fresno County, California",2043,15.0,3.0,13.0,17.0,19.0,15.0,6.0,4.0,1.0,3.0,95,6.0,2.0,5.0,5.0,7.0,6.0,4.0,3.0,2.0,4.0,06,019,005304,2018,06019005304
"Census Tract 758.05, Orange County, California",1261,5.0,4.0,7.0,10.0,9.0,9.0,14.0,23.0,4.0,11.0,74,4.0,3.0,4.0,5.0,4.0,3.0,7.0,7.0,2.0,5.0,06,059,075805,2018,06059075805
"Census Tract 758.06, Orange County, California",2057,12.0,1.0,5.0,3.0,4.0,18.0,12.0,14.0,18.0,8.0,74,7.0,2.0,4.0,3.0,2.0,6.0,5.0,5.0,7.0,5.0,06,059,075806,2018,06059075806
"Census Tract 758.07, Orange County, California",1180,1.0,2.0,0.0,9.0,10.0,12.0,11.0,22.0,12.0,16.0,69,1.0,2.0,0.0,6.0,5.0,5.0,4.0,6.0,5.0,4.0,06,059,075807,2018,06059075807
"Census Tract 758.08, Orange County, California",1101,0.0,1.0,4.0,7.0,5.0,12.0,6.0,22.0,19.0,19.0,52,0.0,1.0,4.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,06,059,075808,2018,06059075808
"Census Tract 758.09, Orange County, California",1044,2.0,2.0,2.0,5.0,7.0,2.0,7.0,15.0,15.0,39.0,66,1.0,2.0,2.0,3.0,4.0,2.0,5.0,6.0,5.0,7.0,06,059,075809,2018,06059075809
"Census Tract 758.12, Orange County, California",1895,2.0,2.0,6.0,8.0,14.0,17.0,12.0,15.0,10.0,10.0,56,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,06,059,075812,2018,06059075812
"Census Tract 758.14, Orange County, California",1067,0.0,0.0,5.0,2.0,10.0,14.0,5.0,17.0,11.0,31.0,58,1.0,3.0,3.0,2.0,5.0,5.0,3.0,6.0,4.0,6.0,06,059,075814,2018,06059075814
"Census Tract 761.01, Orange County, California",3723,7.0,1.0,4.0,9.0,7.0,19.0,19.0,23.0,5.0,3.0,189,4.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,06,059,076101,2018,06059076101
"Census Tract 762.01, Orange County, California",2398,3.0,1.0,2.0,4.0,3.0,10.0,9.0,29.0,20.0,14.0,96,2.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,6.0,5.0,06,059,076201,2018,06059076201
"Census Tract 762.08, Orange County, California",1655,1.0,4.0,7.0,8.0,9.0,12.0,14.0,16.0,13.0,11.0,48,1.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,06,059,076208,2018,06059076208
"Census Tract 863.04, Orange County, California",1704,1.0,1.0,8.0,8.0,14.0,22.0,17.0,12.0,9.0,4.0,54,1.0,1.0,4.0,3.0,6.0,5.0,6.0,4.0,3.0,2.0,06,059,086304,2018,06059086304
"Census Tract 863.05, Orange County, California",1076,2.0,1.0,8.0,2.0,8.0,13.0,10.0,27.0,18.0,8.0,52,2.0,1.0,4.0,2.0,3.0,6.0,4.0,7.0,7.0,5.0,06,059,086305,2018,06059086305
"Census Tract 867.02, Orange County, California",1948,2.0,0.0,11.0,7.0,11.0,21.0,13.0,22.0,4.0,3.0,59,2.0,0.0,5.0,4.0,4.0,6.0,4.0,7.0,3.0,1.0,06,059,086702,2018,06059086702
"Census Tract 869.02, Orange County, California",1667,5.0,1.0,11.0,5.0,10.0,22.0,15.0,16.0,8.0,2.0,75,4.0,1.0,5.0,2.0,5.0,7.0,6.0,5.0,3.0,2.0,06,059,086902,2018,06059086902
"Census Tract 870.02, Orange County, California",2337,4.0,3.0,12.0,11.0,4.0,20.0,22.0,16.0,1.0,3.0,77,5.0,2.0,5.0,5.0,3.0,7.0,7.0,6.0,1.0,3.0,06,059,087002,2018,06059087002
"Census Tract 874.01, Orange County, California",1478,1.0,0.0,1.0,9.0,4.0,15.0,13.0,35.0,11.0,6.0,80,1.0,1.0,1.0,5.0,3.0,6.0,4.0,6.0,6.0,3.0,06,059,087401,2018,06059087401
"Census Tract 874.04, Orange County, California",876,4.0,4.0,8.0,4.0,25.0,21.0,16.0,9.0,3.0,1.0,50,3.0,3.0,4.0,3.0,7.0,7.0,7.0,5.0,2.0,1.0,06,059,087404,2018,06059087404
"Census Tract 875.04, Orange County, California",1699,4.0,10.0,11.0,16.0,15.0,16.0,7.0,11.0,3.0,2.0,73,3.0,3.0,5.0,4.0,5.0,6.0,3.0,4.0,2.0,2.0,06,059,087504,2018,06059087504
"Census Tract 100.12, San Bernardino County, California",1398,3.0,4.0,10.0,8.0,18.0,22.0,6.0,18.0,4.0,2.0,86,2.0,3.0,6.0,3.0,6.0,5.0,3.0,6.0,3.0,2.0,06,071,010012,2018,06071010012
"Census Tract 100.15, San Bernardino County, California",1588,4.0,12.0,9.0,10.0,12.0,18.0,14.0,14.0,2.0,0.0,76,3.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,1.0,0.0,06,071,010015,2018,06071010015
"Census Tract 1.09, San Bernardino County, California",2219,4.0,2.0,3.0,4.0,6.0,12.0,12.0,37.0,9.0,7.0,92,4.0,2.0,3.0,3.0,4.0,5.0,5.0,8.0,4.0,3.0,06,071,000109,2018,06071000109
"Census Tract 404.02, Riverside County, California",978,5.0,0.0,12.0,7.0,11.0,23.0,21.0,15.0,2.0,0.0,91,6.0,3.0,7.0,6.0,6.0,10.0,11.0,7.0,2.0,3.0,06,065,040402,2018,06065040402
"Census Tract 405.01, Riverside County, California",1737,2.0,2.0,9.0,9.0,17.0,18.0,16.0,13.0,4.0,4.0,95,2.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,3.0,06,065,040501,2018,06065040501
"Census Tract 425.14, Riverside County, California",791,7.0,4.0,11.0,5.0,27.0,21.0,5.0,12.0,2.0,0.0,53,4.0,3.0,6.0,3.0,7.0,6.0,2.0,4.0,2.0,0.0,06,065,042514,2018,06065042514
"Census Tract 424.04, Riverside County, California",568,9.0,8.0,16.0,7.0,5.0,21.0,16.0,9.0,3.0,1.0,40,7.0,5.0,7.0,5.0,3.0,8.0,10.0,6.0,5.0,1.0,06,065,042404,2018,06065042404
"Census Tract 425.05, Riverside County, California",828,9.0,7.0,13.0,13.0,19.0,20.0,8.0,2.0,2.0,1.0,60,4.0,4.0,5.0,6.0,7.0,7.0,4.0,2.0,2.0,1.0,06,065,042505,2018,06065042505
"Census Tract 425.10, Riverside County, California",1128,9.0,1.0,11.0,9.0,11.0,23.0,12.0,15.0,3.0,2.0,49,4.0,2.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0,2.0,06,065,042510,2018,06065042510
"Census Tract 425.18, Riverside County, California",843,6.0,2.0,7.0,8.0,12.0,22.0,17.0,14.0,6.0,1.0,61,4.0,2.0,5.0,4.0,5.0,7.0,5.0,5.0,4.0,2.0,06,065,042518,2018,06065042518
"Census Tract 425.19, Riverside County, California",489,10.0,3.0,5.0,10.0,30.0,24.0,9.0,3.0,1.0,0.0,44,7.0,4.0,5.0,8.0,11.0,10.0,7.0,3.0,1.0,6.0,06,065,042519,2018,06065042519
"Census Tract 427.20, Riverside County, California",1471,3.0,8.0,3.0,12.0,18.0,24.0,10.0,11.0,6.0,1.0,95,2.0,3.0,4.0,5.0,6.0,7.0,5.0,5.0,4.0,1.0,06,065,042720,2018,06065042720
"Census Tract 430.06, Riverside County, California",1368,7.0,11.0,9.0,17.0,13.0,19.0,10.0,6.0,1.0,2.0,112,4.0,5.0,5.0,7.0,5.0,5.0,4.0,3.0,1.0,1.0,06,065,043006,2018,06065043006
"Census Tract 433.14, Riverside County, California",1126,2.0,2.0,11.0,5.0,17.0,28.0,12.0,19.0,0.0,1.0,90,2.0,2.0,6.0,3.0,7.0,10.0,5.0,6.0,1.0,1.0,06,065,043314,2018,06065043314
"Census Tract 433.15, Riverside County, California",726,2.0,2.0,4.0,7.0,14.0,17.0,14.0,26.0,5.0,6.0,39,1.0,1.0,2.0,3.0,6.0,6.0,5.0,7.0,3.0,3.0,06,065,043315,2018,06065043315
"Census Tract 438.07, Riverside County, California",2001,9.0,4.0,10.0,5.0,7.0,21.0,15.0,13.0,10.0,1.0,59,5.0,3.0,5.0,2.0,3.0,6.0,5.0,4.0,4.0,1.0,06,065,043807,2018,06065043807
"Census Tract 441.01, Riverside County, California",992,7.0,9.0,15.0,15.0,15.0,14.0,7.0,8.0,2.0,1.0,67,4.0,4.0,5.0,5.0,6.0,4.0,3.0,4.0,2.0,1.0,06,065,044101,2018,06065044101
"Census Tract 442, Riverside County, California",1697,11.0,4.0,16.0,16.0,11.0,18.0,10.0,8.0,2.0,0.0,103,5.0,3.0,6.0,5.0,5.0,6.0,5.0,4.0,2.0,2.0,06,065,044200,2018,06065044200
"Census Tract 448.06, Riverside County, California",1308,5.0,7.0,20.0,14.0,12.0,17.0,4.0,8.0,4.0,5.0,164,3.0,3.0,8.0,6.0,5.0,5.0,2.0,5.0,2.0,3.0,06,065,044806,2018,06065044806
"Census Tract 448.07, Riverside County, California",835,10.0,6.0,16.0,7.0,9.0,13.0,7.0,9.0,4.0,15.0,87,6.0,3.0,8.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,06,065,044807,2018,06065044807
